n,canonical_form,edges,degree_sequence,derived_labels,edge_diameter,stt_count,enumeration_completed,uniform_optimum,leaf_heavy_optimum
1,(),[],0,edge-diameter-0 path star,0,1,True,1,1
2,(()),"[[0,1]]",1 1,edge-diameter-0 path star,0,2,True,3/2,3/2
3,(()()),"[[0,1],[0,2]]",2 1 1,edge-diameter-1 path star,1,5,True,5/3,3/2
4,((())()),"[[0,1],[0,2],[1,3]]",2 2 1 1,edge-diameter-2 path,2,14,True,2,3/2
4,(()()()),"[[0,1],[0,2],[0,3]]",3 1 1 1,edge-diameter-1 star,1,16,True,7/4,2
5,((()())()),"[[0,1],[0,2],[0,3],[1,4]]",3 2 1 1 1,edge-diameter-2,2,51,True,2,2
5,((())(())),"[[0,1],[0,3],[1,2],[2,4]]",2 2 2 1 1,edge-diameter-3 path,3,42,True,11/5,3/2
5,(()()()()),"[[0,1],[0,2],[0,3],[0,4]]",4 1 1 1 1,edge-diameter-1 star,1,65,True,9/5,2
6,(((()))(())),"[[0,1],[0,4],[1,2],[2,3],[3,5]]",2 2 2 2 1 1,edge-diameter-4 path,4,132,True,7/3,3/2
6,((()()())()),"[[0,1],[0,2],[0,3],[0,4],[1,5]]",4 2 1 1 1 1,edge-diameter-2,2,236,True,2,2
6,((()())(())),"[[0,1],[0,3],[0,4],[1,2],[2,5]]",3 2 2 1 1 1,edge-diameter-3,3,166,True,13/6,2
6,((()())()()),"[[0,1],[0,2],[0,3],[1,4],[1,5]]",3 3 1 1 1 1,edge-diameter-2,2,214,True,13/6,9/4
6,((())(())()),"[[0,1],[0,2],[0,3],[1,4],[2,5]]",3 2 2 1 1 1,edge-diameter-3,3,176,True,13/6,2
6,(()()()()()),"[[0,1],[0,2],[0,3],[0,4],[0,5]]",5 1 1 1 1 1,edge-diameter-1 star,1,326,True,11/6,2
7,(((()()))(())),"[[0,1],[0,4],[0,5],[1,2],[2,3],[3,6]]",3 2 2 2 1 1 1,edge-diameter-4,4,552,True,17/7,2
7,(((())())(())),"[[0,1],[0,2],[0,4],[1,5],[2,3],[3,6]]",3 2 2 2 1 1 1,edge-diameter-4,4,605,True,16/7,2
7,(((()))((()))),"[[0,1],[0,5],[1,2],[2,3],[3,4],[4,6]]",2 2 2 2 2 1 1,edge-diameter-5 path,5,429,True,17/7,3/2
7,((()()()())()),"[[0,1],[0,2],[0,3],[0,4],[0,5],[1,6]]",5 2 1 1 1 1 1,edge-diameter-2,2,1337,True,2,2
7,((()()())(())),"[[0,1],[0,3],[0,4],[0,5],[1,2],[2,6]]",4 2 2 1 1 1 1,edge-diameter-3,3,836,True,15/7,2
7,((()()())()()),"[[0,1],[0,2],[0,3],[0,4],[1,5],[1,6]]",4 3 1 1 1 1 1,edge-diameter-2,2,1135,True,15/7,11/5
7,((()())(()())),"[[0,1],[0,3],[0,4],[1,2],[2,5],[2,6]]",3 3 2 1 1 1 1,edge-diameter-3,3,721,True,16/7,9/4
7,((()())(())()),"[[0,1],[0,3],[0,4],[1,2],[1,5],[2,6]]",3 3 2 1 1 1 1,edge-diameter-3,3,807,True,16/7,9/4
7,((())(())(())),"[[0,1],[0,4],[1,2],[1,3],[2,5],[3,6]]",3 2 2 2 1 1 1,edge-diameter-3,3,662,True,16/7,2
7,((())(())()()),"[[0,1],[0,2],[0,3],[0,4],[1,5],[2,6]]",4 2 2 1 1 1 1,edge-diameter-3,3,930,True,15/7,2
7,(()()()()()()),"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6]]",6 1 1 1 1 1 1,edge-diameter-1 star,1,1957,True,13/7,2
